Unnamed: 0,id,prompt,url,width,height,source_site
0,00000d0e-45cb-47b6-9f72-6a481e940d78,"'A man waking up in a dark and still room, illuminated by dramatic cinematic light from behind, casting long shadows. The sky is a striking contrast of deep red and cool blue hues, creating a misty atmosphere. The scene is reminiscent of Mikhail Vrubel's style, with Peter Elson's attention to detail and Philippe Druillet's dynamic composition. The muted color palette enhances the mysterious and ethereal mood. (Extreme detail), trending on ArtStation, 8K resolution.'",https://krea-prod-v1-generations.s3.us-east-1.amazonaws.com/images/00000d0e-45cb-47b6-9f72-6a481e940d78.png,512,512,stablediffusionweb.com
1,00001a8f-993f-4d69-8fd2-f7d69dc1e8ef,"'A happy family on a yacht in the Caribbean Sea, with dolphins swimming alongside them, under a bright blue sky, vibrant colors, and a warm, joyful atmosphere.'",https://image.lexica.art/full_jpg/00001a8f-993f-4d69-8fd2-f7d69dc1e8ef,640,640,lexica.art
2,00002cfc-8170-4a93-a1f8-aa5681cb5f71,"A group of friendly alien race individuals with large, expressive eyes and intricate headgear, rendered in a vibrant, futuristic style. The scene is set in a dark, otherworldly environment illuminated by dramatic, colorful lighting. The characters are depicted in high detail, with a focus on their unique features and textures. The artwork is created using Unreal Engine, with a hyper-realistic finish, and is trending on ArtStation.",https://image.lexica.art/full_jpg/00002cfc-8170-4a93-a1f8-aa5681cb5f71,512,768,lexica.art
4,000044ca-a4d7-46a2-81da-7ef3bf4cbeeb,"A portrait of a beautiful woman with long, flowing brown hair riding a vintage bicycle, styled in a Van Gogh-inspired impressionistic manner, with soft, warm lighting and a blurred background of greenery.",https://image.lexica.art/full_jpg/000044ca-a4d7-46a2-81da-7ef3bf4cbeeb,512,768,lexica.art
5,0000463a-7eaa-4fa9-96d8-1f41f3e8dca4,"A close-up render of a sleek black and gold protein bottle labeled ""100% Whey Protein Professional"" by Athlete Pro Nutrition. The bottle sits on a wooden surface with a blurred background featuring warm bokeh lights. The label has bold, metallic text and a sporty design. A small, shiny sports ball rests next to the bottle, emphasizing the athletic theme. The scene is illuminated with soft, warm lighting to highlight the product's details and create a premium feel.",https://image.lexica.art/full_jpg/0000463a-7eaa-4fa9-96d8-1f41f3e8dca4,512,768,lexica.art
6,000053e0-9a62-4b55-aecc-fa6886ab080c,"A surreal, cyberpunk-inspired interior scene featuring tall, distorted geometric columns reminiscent of ancient Roman architecture, with a large, abstract yellow circle dominating the background. The space is bathed in soft, diffused light, creating a dramatic chiaroscuro effect. Elements of Rene Magritte's dreamlike imagery and Didier Barra's modernist style are interwoven, while the influence of Johannes Vermeer's meticulous detail and use of light is evident. The scene is rendered in a tilt-shift effect, giving it a miniature, almost toy-like quality.",https://krea-prod-v1-generations.s3.us-east-1.amazonaws.com/images/000053e0-9a62-4b55-aecc-fa6886ab080c.png,512,512,stablediffusionweb.com
8,00006e82-1243-495d-8f17-a63b77a25dc7,"Elon Musk eating corn in a desert landscape, holding a large bowl filled with yellow kernels, with a bright sun casting dramatic shadows, vibrant green plants in the background, and a clear blue sky above.",https://image.lexica.art/full_jpg/00006e82-1243-495d-8f17-a63b77a25dc7,512,768,lexica.art
9,00008e13-e862-45e3-810b-c0087f7b5968,"A bat with large, detailed wings, perched on the edge of a building at dusk, illuminated by warm, golden sunlight streaming through a window behind it. The bat's fur is a mix of dark brown and light beige, with sharp, pointed ears and glowing eyes. The setting is a classic architectural style with ornate details, creating a dramatic and atmospheric scene.",https://image.lexica.art/full_jpg/00008e13-e862-45e3-810b-c0087f7b5968,512,768,lexica.art
10,000091e4-8396-4aaf-b2f4-c21abcc136cc,"A luxurious 3D-rendered bedroom with elegant gold and navy blue accents. The room features a modern bed with a sleek, curved design and a plush headboard. Gold armchairs with dark cushions sit by the large window, draped with heavy, textured curtains. The walls are adorned with vertical gold stripes, and the ceiling has intricate geometric patterns. Soft, warm lighting from a chandelier and floor lamp creates a cozy ambiance. The glossy floor reflects the room's opulent details, enhancing the overall grandeur.",https://image.lexica.art/full_jpg/000091e4-8396-4aaf-b2f4-c21abcc136cc,768,512,lexica.art
11,00009c69-efcb-4d10-a0bd-631ed67fa456,"High-quality minimalistic wallpaper featuring translucent, elegant 3D waves with intricate textures. Set against a stark black background, the waves exhibit a striking contrast with their glossy, reflective surfaces. The image is rendered in 8K resolution with a filmic look, capturing the ethereal beauty of the waves in a serene, monochromatic palette.",https://image.lexica.art/full_jpg/00009c69-efcb-4d10-a0bd-631ed67fa456,512,768,lexica.art
13,0000fe4f-4a77-4433-82ab-1a21aebd5776,"A New Year greeting card for 2023 featuring a close-up of a woman adorned with golden ornaments, her hair flowing elegantly. The background is dark, highlighting the vibrant gold and red hues of the ornaments and her attire. The scene is set under a beautifully decorated Christmas tree with shiny toys and garlands. Beneath the tree, various gifts are neatly arranged. The image is rendered in a realistic yet slightly futuristic style, with smooth textures and high-quality details. The overall mood is festive and elegant, with a touch of vintage charm. The artwork is hyper-detailed, with a 4K resolution, and captures the essence of a magical holiday season. The style is reminiscent of digital paintings by artists such as Artgerm, Viktoria Gavrilenko, Steve Zheng, and Terry Rogers.",https://image.lexica.art/full_jpg/0000fe4f-4a77-4433-82ab-1a21aebd5776,768,512,lexica.art
14,000111f4-993d-4a1c-8bf8-4011f48288fb,"A striking portrait of two biodegradable cats in a pop art neo-noir style, with sharp focus and highly detailed textures. The vibrant neon green and black color palette contrasts sharply against a bold orange background, evoking a retro 80s aesthetic. The cats' expressions are intense and slightly eerie, capturing the essence of neo-noir. The image is rendered in high definition, with every fur detail meticulously captured.",https://krea-prod-v1-generations.s3.us-east-1.amazonaws.com/images/000111f4-993d-4a1c-8bf8-4011f48288fb.png,512,640,stablediffusionweb.com
15,00011202-280c-463a-b1ff-9a9cd08c5ac3,"Create a portrait of Max Caulfield with vibrant red and orange hues in the background, wearing a blue jacket over a striped white and pink shirt. The lighting should be soft and warm, highlighting her features with a halo effect around her head. The overall style should be realistic with a painterly touch, capturing the essence of Max's youthful energy.",https://image.lexica.art/full_jpg/00011202-280c-463a-b1ff-9a9cd08c5ac3,512,768,lexica.art
16,00012532-dbaf-4fd1-909d-4a495ce57d86,"A melancholic female astronaut in a detailed space suit, set against a starry cosmic backdrop, with a whimsical touch, rendered in mixed media by Bartholomew Beal, Alfio Presotto, Rhads, Salustiano Garcia Cruz, and Lita Cabellut, capturing a contemporary art style with vibrant colors and intricate details.",https://krea-prod-v1-generations.s3.us-east-1.amazonaws.com/images/00012532-dbaf-4fd1-909d-4a495ce57d86.png,512,576,stablediffusionweb.com
18,00013379-424e-4440-9be8-8f00fc83249f,"A full-body portrait of a stunning young woman bodybuilder in a sailor-inspired outfit, featuring intricate details and sharp focus. The outfit includes a white crop top with blue accents and matching shorts, complemented by gold jewelry and a bold belt. Her hair is styled in voluminous waves, and she has a confident pose with one hand on her hip. The background is softly lit, creating a dramatic contrast that highlights her muscular physique and elegant features. The artwork is rendered in a hyper-realistic style, capturing every muscle and detail with precision.",https://image.lexica.art/full_jpg/00013379-424e-4440-9be8-8f00fc83249f,512,768,lexica.art
19,00013423-0e6b-4c47-a734-d72e47b04e7f,"A majestic mountain range covered in snow, with a vibrant yellow field in the foreground. A serene river flows through the landscape, reflecting the sky above. The scene is bathed in warm sunlight, casting long shadows across the terrain. The mountains are sharp and rugged, with patches of green vegetation clinging to their slopes. The overall mood is tranquil and awe-inspiring, capturing the beauty of nature in its raw form.",https://image.lexica.art/full_jpg/00013423-0e6b-4c47-a734-d72e47b04e7f,512,768,lexica.art
21,00016830-f377-4c5b-9909-5050267bd81a,"Humans living in harmony with nature, surrounded by vibrant purple and green trees, a majestic waterfall cascading down a lush cliff, and a serene landscape filled with wildflowers and grazing animals under a soft, ethereal light.",https://image.lexica.art/full_jpg/00016830-f377-4c5b-9909-5050267bd81a,512,768,lexica.art
22,000172e0-939c-4884-9bc4-f6e8c3fe0f21,"A Hierophant figure draped in gold sits between two towering pillars of a sacred temple, bathed in the warm glow of a setting sun. The scene is set against a starry night sky, with a large, glowing orb behind the figure casting a mystical aura. The painting style is reminiscent of Rene Magritte's surrealist works, with sharp geometric lines and a dreamlike atmosphere.",https://image.lexica.art/full_jpg/000172e0-939c-4884-9bc4-f6e8c3fe0f21,512,768,lexica.art
23,00017a5e-5245-40f3-b1e4-61f4a8df9048,"A vibrant hot rod bone shaker in a desert sandstorm, flat design style, with dynamic motion lines, bold orange and yellow tones, dramatic sunset backdrop, and a sleek, retro car design.",https://image.lexica.art/full_jpg/00017a5e-5245-40f3-b1e4-61f4a8df9048,768,512,lexica.art
24,0001857e-4abe-47f3-88be-0b76e4b427e7,"Little Miss is sitting on her Tuffet eating a bowl of curds and whey, surrounded by lush green mountains under a warm, golden summer sky, 8k resolution matte fantasy painting, cinematic lighting, vibrant colors, detailed textures, DeviantArt, Artstation, Jason Felix, Steve Argyle, Tyler Jacobson, Peter Mohrbacher.",https://krea-prod-v1-generations.s3.us-east-1.amazonaws.com/images/0001857e-4abe-47f3-88be-0b76e4b427e7.png,512,512,stablediffusionweb.com
25,0001a9b6-417c-426c-b25b-9b8f1e14aba1,"Jean-Claude Van Damme as a lionhearted warrior in his final battle against Attila, with intense sunlight casting dramatic shadows on his muscular physique, set against a rugged desert landscape under a clear blue sky.",https://image.lexica.art/full_jpg/0001a9b6-417c-426c-b25b-9b8f1e14aba1,512,768,lexica.art
27,0001ca3e-ad63-4698-a0ed-10db33efb262,"A painting masterpiece featuring a fallen angel in a striking purple leather jacket and matching sparkly bikini by Alexander Cabanel, set against a dramatic sky with swirling clouds, bathed in warm, ethereal light, capturing the figure in a seductive pose with intricate feather details on the wings.",https://image.lexica.art/full_jpg/0001ca3e-ad63-4698-a0ed-10db33efb262,1024,1536,lexica.art
28,0001cd84-b0ff-4eea-ab22-77cb7f7d1621,"A highly detailed Unreal Engine render of a man with a long accordion-neck, wearing a white shirt and black pants, holding a pencil, set against a minimalist gray background with soft, diffused lighting. The character design is intricate, featuring a blend of realistic textures and stylized elements, with a focus on the unique elongated neck and the subtle interplay of light and shadow.",https://krea-prod-v1-generations.s3.us-east-1.amazonaws.com/images/0001cd84-b0ff-4eea-ab22-77cb7f7d1621.png,512,512,stablediffusionweb.com
30,0001eb29-025e-46ce-8800-47197b840727,"A powerful, muscular figure wearing a dark blue and gold suit with a glowing red emblem on the chest, standing confidently against a vibrant purple and pink gradient background. The character's helmet features sharp, angular designs and glowing red eyes, exuding an aura of authority and menace.",https://image.lexica.art/full_jpg/0001eb29-025e-46ce-8800-47197b840727,512,768,lexica.art
32,00021a54-2f91-44e2-89e8-26c7d002cc10,"A cute, adorable baby owl encased in a shimmering crystal ball with high-poly eyes, surrounded by a glowing aura. Intricately detailed feathers, vibrant colors, and a mystical atmosphere. Highly realistic, concept art style, inspired by ArtStation, rendered in 8K resolution.",https://image.lexica.art/full_jpg/00021a54-2f91-44e2-89e8-26c7d002cc10,512,768,lexica.art
33,000221c4-df36-4174-bd0f-0d902f133454,"A mecha human cyborg with sleek orange and black armor, standing in a futuristic room with soft natural light filtering through large windows. The robot's design features intricate mechanical details, glowing blue eyes, and a dynamic pose that conveys motion and power.",https://image.lexica.art/full_jpg/000221c4-df36-4174-bd0f-0d902f133454,512,768,lexica.art
35,00023250-2417-44d3-b470-8014e53408e3,"A grand circular agora of ancient Greece at night, illuminated by warm golden lights, leading to a futuristic portal with 360-degree views of virtual worlds, set against a backdrop of silhouetted palm trees and distant mountains under a twilight sky.",https://image.lexica.art/full_jpg/00023250-2417-44d3-b470-8014e53408e3,512,768,lexica.art
37,00028018-b73f-4625-930b-13f9ed8673cc,"A beautiful anime girl with short, flowing white hair, wearing a pristine white lab coat and round glasses, holding a clipboard filled with scientific data, standing confidently inside a modern research facility. The setting is illuminated by soft, ambient light, creating a serene yet focused atmosphere. The character's expression is serious and determined, reflecting her dedication to her work. The artwork is highly detailed, with intricate patterns on her lab coat and a smooth, sharp focus throughout the scene. The style is reminiscent of digital paintings found on ArtStation, with a touch of elegance and sophistication. The overall mood is one of professionalism and innovation.",https://image.lexica.art/full_jpg/00028018-b73f-4625-930b-13f9ed8673cc,512,768,lexica.art
39,00028dde-a612-4139-b0e7-cce86dedb1b8,"A cinematic full-body NFT collection featuring a marijuana goddess character concept. Perfectly focused closeup macro photography of a beautiful marijuana bud with dense trichomes, glowing under neon blacklight. Sacred DMT weed superheroine with visionary fantasy art inspired by Greg Rutkowski, Android Jones, and Artgerm. Alien plants with intricate details and vibrant colors, adhering to the rule of thirds and golden ratio composition.",https://image.lexica.art/full_jpg/00028dde-a612-4139-b0e7-cce86dedb1b8,768,512,lexica.art
40,00028fc2-6567-4703-a989-4e9835769d19,"Highly detailed portrait of a male bandit wearing a black and gold hat, with striking blue eyes and a bold mustache, set against a warm, golden glow. The background features a dramatic sunset with fiery hues, creating a sense of intensity and mystery. The artwork is inspired by the style of Artgerm, Greg Rutkowski, Tetsuya Nomura, Makoto Shinkai, Boris Vallejo, and Stephen Bliss, with smooth, sharp focus and a fantasy setting.",https://image.lexica.art/full_jpg/00028fc2-6567-4703-a989-4e9835769d19,640,640,lexica.art
41,0002a95f-97d2-4f96-bbf5-c50229fcb8dc,"A stunning, modern 4-bedroom house in Florida, featuring sleek black and white architecture with large glass windows and balconies. The exterior is surrounded by lush greenery and manicured lawns, with a clear blue sky above. The scene is bathed in warm, natural sunlight, highlighting the intricate details and clean lines of the contemporary design.",https://image.lexica.art/full_jpg/0002a95f-97d2-4f96-bbf5-c50229fcb8dc,512,768,lexica.art
42,0002d351-40cc-4ab5-a6e9-643cccc25a21,"'A highly detailed, 4K masterpiece in manga style featuring a robotic girl in a black bikini sitting on the beach. The scene is bathed in warm, golden light with a large, glowing moon in the background, creating a surreal and captivating atmosphere. The landscape includes rugged cliffs and a distant cityscape, blending futuristic and natural elements seamlessly. The art style is reminiscent of Gantz, with intricate details and a striking contrast between the character's mechanical features and her human-like appearance.'",https://image.lexica.art/full_jpg/0002d351-40cc-4ab5-a6e9-643cccc25a21,512,768,lexica.art
43,0002ed1e-d401-4cc4-a3c5-2224430ca05f,"A character concept by Jen Zee and Vince Javier, featuring a young woman with long, flowing black hair adorned with red ribbons. Her skin is smooth and glowing, with rosy cheeks and defined eyes. She wears a traditional outfit with intricate gold trim and a high collar, set against a soft, neutral background. The lighting is warm and highlights her features beautifully, creating a serene and elegant atmosphere.",https://image.lexica.art/full_jpg/0002ed1e-d401-4cc4-a3c5-2224430ca05f,512,768,lexica.art
45,00030539-2824-4c44-a3d7-38758c921f0e,"A close-up portrait of a vibrant, bioluminescent jellyfish with intricate, iridescent patterns. The jellyfish's translucent body reveals internal structures with a mix of blue and purple hues, set against a dark background illuminated by warm orange and yellow lights. The scene is highly detailed and rendered with Octane, capturing the ethereal beauty of the creature in a cinematic, hyper-realistic style.",https://image.lexica.art/full_jpg/00030539-2824-4c44-a3d7-38758c921f0e,512,768,lexica.art
47,00033717-47d1-43b7-8a3b-c2ff963b67da,"Sayori from DDLC, smiling warmly, wearing her school uniform with a pink bow in her hair, soft lighting highlighting her features, a dreamy and cheerful atmosphere, detailed and vibrant colors, high resolution, anime style.",https://image.lexica.art/full_jpg/00033717-47d1-43b7-8a3b-c2ff963b67da,512,768,lexica.art
